PI_email	Institution_of_dataset	Dataset	Request_timeStamp	Expected_answer
bphillips7@ucsd.edu	UCI	Data Set 27	1669948173	N
bphillips7@ucsd.edu	UCSD	Data Set 14	1670995804	N
bphillips7@ucsd.edu	UCD	Data Set 36	1671687440	N
bphillips7@ucsd.edu	UCD	Data Set 34	1670525670	N
bphillips7@ucsd.edu	UCD	Data Set 310	1671842806	N
bphillips7@ucsd.edu	UCD	Data Set 35	1670481151	N
bphillips7@ucsd.edu	UCSD	Data Set 15	1667899549	N
bphillips7@ucsd.edu	UCD	Data Set 39	1667830896	N
bphillips7@ucsd.edu	UCD	Data Set 38	1667890975	Y
bphillips7@ucsd.edu	UCI	Data Set 21	1667642961	Y
cruiz60@ucsd.edu	UCSD	Data Set 110	1669869039	N
cruiz60@ucsd.edu	UCI	Data Set 25	1669209170	N
cruiz60@ucsd.edu	UCD	Data Set 35	1669511975	N
cruiz60@ucsd.edu	UCSD	Data Set 12	1671026165	N
cruiz60@ucsd.edu	UCSD	Data Set 13	1669988202	N
cruiz60@ucsd.edu	UCI	Data Set 210	1669806500	N
cruiz60@ucsd.edu	UCD	Data Set 33	1671608949	N
cruiz60@ucsd.edu	UCSD	Data Set 15	1670112022	N
cruiz60@ucsd.edu	UCI	Data Set 23	1670585436	N
cruiz60@ucsd.edu	UCD	Data Set 310	1669979927	N
cruiz60@ucsd.edu	UCI	Data Set 21	1670016290	Y
cruiz60@ucsd.edu	UCD	Data Set 31	1667395539	Y
cruiz60@ucsd.edu	UCD	Data Set 36	1671503814	N
cruiz60@ucsd.edu	UCD	Data Set 32	1672369428	N
cruiz60@ucsd.edu	UCD	Data Set 37	1670192842	N
cruiz60@ucsd.edu	UCD	Data Set 34	1667680883	N
cruiz60@ucsd.edu	UCSD	Data Set 17	1671337923	N
cruiz60@ucsd.edu	UCI	Data Set 26	1671746030	N
cruiz60@ucsd.edu	UCD	Data Set 39	1672414154	N
cruiz60@ucsd.edu	UCI	Data Set 24	1671457356	N
cruiz60@ucsd.edu	UCI	Data Set 29	1670595005	N
cruiz60@ucsd.edu	UCSD	Data Set 14	1667318622	N
cruiz60@ucsd.edu	UCSD	Data Set 19	1670790755	Y
cruiz60@ucsd.edu	UCI	Data Set 28	1667512774	N
cruiz60@ucsd.edu	UCI	Data Set 22	1672318047	N
cgutierrez98@ucsd.edu	UCSD	Data Set 14	1671439208	N
cgutierrez98@ucsd.edu	UCD	Data Set 37	1670984214	N
cgutierrez98@ucsd.edu	UCD	Data Set 38	1667592821	Y
cgutierrez98@ucsd.edu	UCI	Data Set 27	1671537766	N
cgutierrez98@ucsd.edu	UCD	Data Set 35	1670880253	Y
cgutierrez98@ucsd.edu	UCSD	Data Set 12	1667573962	N
cgutierrez98@ucsd.edu	UCI	Data Set 22	1667894998	N
cgutierrez98@ucsd.edu	UCD	Data Set 33	1670111152	N
cgutierrez98@ucsd.edu	UCI	Data Set 24	1669444853	N
cgutierrez98@ucsd.edu	UCI	Data Set 25	1668788901	N
cgutierrez98@ucsd.edu	UCI	Data Set 28	1669898771	N
cgutierrez98@ucsd.edu	UCD	Data Set 32	1668899900	N
cgutierrez98@ucsd.edu	UCI	Data Set 29	1668265215	N
cgutierrez98@ucsd.edu	UCI	Data Set 210	1668485485	N
cgutierrez98@ucsd.edu	UCSD	Data Set 11	1671329138	N
cgutierrez98@ucsd.edu	UCD	Data Set 34	1670384708	N
cgutierrez98@ucsd.edu	UCSD	Data Set 18	1668560435	Y
cgutierrez98@ucsd.edu	UCSD	Data Set 13	1668513502	N
cgutierrez98@ucsd.edu	UCSD	Data Set 16	1670088432	Y
cgutierrez98@ucsd.edu	UCSD	Data Set 110	1667483288	N
cgutierrez98@ucsd.edu	UCSD	Data Set 17	1672001030	N
cgutierrez98@ucsd.edu	UCD	Data Set 310	1668987250	N
cgutierrez98@ucsd.edu	UCD	Data Set 39	1669876810	N
cgutierrez98@ucsd.edu	UCD	Data Set 31	1671036567	N
cgutierrez98@ucsd.edu	UCI	Data Set 26	1668396332	N
cgutierrez98@ucsd.edu	UCD	Data Set 36	1672387411	N
cgutierrez98@ucsd.edu	UCI	Data Set 21	1670949091	Y
christinehill23@ucsd.edu	UCI	Data Set 25	1669686577	N
christinehill23@ucsd.edu	UCD	Data Set 310	1671557815	N
christinehill23@ucsd.edu	UCD	Data Set 35	1667824958	Y
christinehill23@ucsd.edu	UCI	Data Set 22	1671930058	N
christinehill23@ucsd.edu	UCI	Data Set 21	1669360354	Y
christinehill23@ucsd.edu	UCI	Data Set 23	1669575999	N
christinehill23@ucsd.edu	UCI	Data Set 28	1672013185	N
christinehill23@ucsd.edu	UCD	Data Set 31	1669245293	N
christinehill23@ucsd.edu	UCD	Data Set 39	1669044430	N
christinehill23@ucsd.edu	UCD	Data Set 34	1669887157	N
christinehill23@ucsd.edu	UCSD	Data Set 11	1671938908	N
christinehill23@ucsd.edu	UCD	Data Set 32	1672416722	N
christinehill23@ucsd.edu	UCSD	Data Set 15	1671434447	N
cturner16@ucsd.edu	UCSD	Data Set 15	1670601398	N
cturner16@ucsd.edu	UCSD	Data Set 16	1669058134	Y
cturner16@ucsd.edu	UCD	Data Set 32	1668467852	N
cturner16@ucsd.edu	UCSD	Data Set 12	1667296858	N
cturner16@ucsd.edu	UCI	Data Set 25	1670994604	N
cturner16@ucsd.edu	UCSD	Data Set 19	1667946429	N
cturner16@ucsd.edu	UCI	Data Set 28	1668455820	N
cturner16@ucsd.edu	UCD	Data Set 35	1671535188	N
cturner16@ucsd.edu	UCD	Data Set 34	1668748004	N
cturner16@ucsd.edu	UCD	Data Set 33	1671483415	N
cturner16@ucsd.edu	UCD	Data Set 31	1668660266	N
cturner16@ucsd.edu	UCSD	Data Set 11	1668599591	N
cturner16@ucsd.edu	UCI	Data Set 23	1667997963	N
cturner16@ucsd.edu	UCI	Data Set 210	1670684373	N
cturner16@ucsd.edu	UCD	Data Set 310	1670653059	N
cturner16@ucsd.edu	UCD	Data Set 36	1669822346	N
cturner16@ucsd.edu	UCD	Data Set 38	1667675667	Y
cturner16@ucsd.edu	UCD	Data Set 37	1668433510	N
cturner16@ucsd.edu	UCSD	Data Set 18	1672093259	N
cturner16@ucsd.edu	UCSD	Data Set 110	1671054859	N
cturner16@ucsd.edu	UCI	Data Set 27	1668124498	N
cturner16@ucsd.edu	UCI	Data Set 24	1672253779	N
cturner16@ucsd.edu	UCSD	Data Set 17	1668513830	N
cturner16@ucsd.edu	UCSD	Data Set 13	1672257211	N
cturner16@ucsd.edu	UCI	Data Set 22	1671082568	N
cturner16@ucsd.edu	UCI	Data Set 29	1667905064	N
cturner16@ucsd.edu	UCI	Data Set 21	1670391848	Y
cy49@ucsd.edu	UCD	Data Set 38	1668569978	N
cy49@ucsd.edu	UCSD	Data Set 19	1668063699	N
cy49@ucsd.edu	UCI	Data Set 23	1669713192	N
cy49@ucsd.edu	UCI	Data Set 27	1668688272	N
cy49@ucsd.edu	UCD	Data Set 39	1671128343	N
cy49@ucsd.edu	UCD	Data Set 35	1672346875	N
cy49@ucsd.edu	UCD	Data Set 34	1670591020	N
cy49@ucsd.edu	UCI	Data Set 28	1670434120	N
cy49@ucsd.edu	UCI	Data Set 22	1672134610	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 110	1667713505	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 12	1667393285	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 23	1670255290	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 24	1671336106	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 310	1670829742	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 22	1667791992	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 37	1669061898	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 34	1668922222	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 38	1667384323	Y
cynthiagutierrez22@ucsd.edu	UCD	Data Set 31	1671345252	Y
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 18	1670534356	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 15	1670591291	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 16	1667714200	Y
cynthiagutierrez22@ucsd.edu	UCI	Data Set 26	1672385875	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 11	1672076795	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 29	1669925415	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 13	1668769793	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 27	1669929541	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 21	1668823978	Y
cynthiagutierrez22@ucsd.edu	UCD	Data Set 32	1669305755	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 14	1670652421	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 17	1670473374	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 39	1669990664	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 36	1669917074	N
cynthiagutierrez22@ucsd.edu	UCD	Data Set 35	1670634905	Y
cynthiagutierrez22@ucsd.edu	UCI	Data Set 210	1667577264	N
cynthiagutierrez22@ucsd.edu	UCI	Data Set 25	1668499445	N
cynthiagutierrez22@ucsd.edu	UCSD	Data Set 19	1667656358	Y
cynthiagutierrez22@ucsd.edu	UCI	Data Set 28	1671580862	N
davidr46@ucsd.edu	UCSD	Data Set 14	1669346788	N
davidr46@ucsd.edu	UCI	Data Set 21	1669923646	Y
davidr46@ucsd.edu	UCSD	Data Set 17	1669655751	N
davidr46@ucsd.edu	UCD	Data Set 36	1670457955	N
davidr46@ucsd.edu	UCD	Data Set 34	1671841772	N
davidr46@ucsd.edu	UCD	Data Set 31	1668461373	Y
davidr46@ucsd.edu	UCI	Data Set 29	1668982800	N
davidr46@ucsd.edu	UCD	Data Set 38	1668889600	N
davidr46@ucsd.edu	UCD	Data Set 39	1669720761	N
davidr46@ucsd.edu	UCSD	Data Set 110	1671609465	N
davidr46@ucsd.edu	UCI	Data Set 27	1669911664	N
davidr46@ucsd.edu	UCI	Data Set 28	1671664861	N
davidr46@ucsd.edu	UCI	Data Set 23	1669709058	N
debrawhite67@ucsd.edu	UCI	Data Set 28	1669771810	N
debrawhite67@ucsd.edu	UCD	Data Set 37	1668324178	N
debrawhite67@ucsd.edu	UCD	Data Set 32	1668827661	N
debrawhite67@ucsd.edu	UCD	Data Set 31	1670072447	N
debrawhite67@ucsd.edu	UCD	Data Set 34	1670548467	N
debrawhite67@ucsd.edu	UCD	Data Set 33	1670739214	N
debrawhite67@ucsd.edu	UCI	Data Set 27	1670131590	N
debrawhite67@ucsd.edu	UCSD	Data Set 19	1672349564	N
debrawhite67@ucsd.edu	UCI	Data Set 21	1668226871	Y
debrawhite67@ucsd.edu	UCD	Data Set 310	1671969286	N
debrawhite67@ucsd.edu	UCD	Data Set 38	1671492254	N
debrawhite67@ucsd.edu	UCSD	Data Set 11	1672345206	N
debrawhite67@ucsd.edu	UCI	Data Set 22	1669533853	N
debrawhite67@ucsd.edu	UCD	Data Set 36	1668888852	N
debrawhite67@ucsd.edu	UCD	Data Set 39	1668331145	N
debrawhite67@ucsd.edu	UCI	Data Set 210	1668601919	N
debrawhite67@ucsd.edu	UCSD	Data Set 15	1669181662	N
debrawhite67@ucsd.edu	UCSD	Data Set 14	1669084779	N
debrawhite67@ucsd.edu	UCI	Data Set 29	1670091112	N
debrawhite67@ucsd.edu	UCSD	Data Set 13	1669076565	N
debrawhite67@ucsd.edu	UCI	Data Set 26	1672260684	N
debrawhite67@ucsd.edu	UCSD	Data Set 110	1667788648	N
debrawhite67@ucsd.edu	UCI	Data Set 25	1667847378	N
debrawhite67@ucsd.edu	UCI	Data Set 24	1669737274	N
debrawhite67@ucsd.edu	UCSD	Data Set 12	1668208186	N
debrawhite67@ucsd.edu	UCD	Data Set 35	1667674674	N
debrawhite67@ucsd.edu	UCSD	Data Set 16	1668038869	Y
debrawhite67@ucsd.edu	UCI	Data Set 23	1671064562	N
donaldp46@ucsd.edu	UCSD	Data Set 14	1667895678	N
donaldp46@ucsd.edu	UCI	Data Set 25	1671251240	N
donaldp46@ucsd.edu	UCI	Data Set 210	1669391955	N
donaldp46@ucsd.edu	UCD	Data Set 37	1672251894	N
donaldp46@ucsd.edu	UCSD	Data Set 17	1669452411	N
donaldp46@ucsd.edu	UCI	Data Set 29	1671435441	Y
donaldp46@ucsd.edu	UCSD	Data Set 13	1671448505	N
donaldp46@ucsd.edu	UCD	Data Set 33	1670178088	N
donaldp46@ucsd.edu	UCI	Data Set 22	1669702791	N
donaldp46@ucsd.edu	UCSD	Data Set 19	1668907247	Y
donaldp46@ucsd.edu	UCSD	Data Set 18	1667290732	Y
donaldp46@ucsd.edu	UCD	Data Set 35	1669342408	N
donaldp46@ucsd.edu	UCSD	Data Set 12	1669181396	N
donaldp46@ucsd.edu	UCSD	Data Set 11	1667802976	N
donaldp46@ucsd.edu	UCD	Data Set 38	1672230271	Y
donaldp46@ucsd.edu	UCD	Data Set 39	1668712694	N
donaldp46@ucsd.edu	UCD	Data Set 36	1668940627	Y
donaldp46@ucsd.edu	UCD	Data Set 310	1669873019	Y
donaldp46@ucsd.edu	UCI	Data Set 21	1667362045	Y
donaldp46@ucsd.edu	UCI	Data Set 23	1668468472	N
donaldp46@ucsd.edu	UCI	Data Set 24	1670660792	N
donaldp46@ucsd.edu	UCD	Data Set 32	1669917779	N
donaldp46@ucsd.edu	UCI	Data Set 28	1669100350	N
donaldp46@ucsd.edu	UCD	Data Set 34	1667922254	N
donaldp46@ucsd.edu	UCSD	Data Set 15	1671430141	N
donaldp46@ucsd.edu	UCD	Data Set 31	1671040294	N
donaldr51@ucsd.edu	UCSD	Data Set 19	1669305069	N
donaldr51@ucsd.edu	UCI	Data Set 23	1671605928	N
donaldr51@ucsd.edu	UCI	Data Set 28	1672338335	N
donaldr51@ucsd.edu	UCSD	Data Set 13	1668786780	N
donaldr51@ucsd.edu	UCD	Data Set 35	1669178602	N
donaldr51@ucsd.edu	UCD	Data Set 33	1668629215	N
donaldr51@ucsd.edu	UCSD	Data Set 14	1670197463	N
donaldr51@ucsd.edu	UCD	Data Set 38	1672084446	Y
donaldr51@ucsd.edu	UCD	Data Set 37	1668646096	N
donaldr51@ucsd.edu	UCI	Data Set 22	1668751993	N
donaldr51@ucsd.edu	UCSD	Data Set 17	1671054911	N
donaldr51@ucsd.edu	UCD	Data Set 310	1667467430	N
donaldr51@ucsd.edu	UCI	Data Set 25	1671705111	N
donaldr51@ucsd.edu	UCD	Data Set 32	1672442032	N
donaldr51@ucsd.edu	UCSD	Data Set 16	1671538223	Y
donaldr51@ucsd.edu	UCI	Data Set 29	1668821414	N
donaldr51@ucsd.edu	UCI	Data Set 21	1671985696	Y
donaldr51@ucsd.edu	UCSD	Data Set 110	1667356468	N
donaldr51@ucsd.edu	UCI	Data Set 210	1667718764	N
donaldr51@ucsd.edu	UCD	Data Set 36	1671083237	Y
emilyrivera@uci.edu	UCI	Data Set 210	1670858092	N
garyc@uci.edu	UCD	Data Set 310	1670169356	N
garyc@uci.edu	UCI	Data Set 25	1671171758	N
garyc@uci.edu	UCD	Data Set 36	1671060547	Y
garyc@uci.edu	UCI	Data Set 210	1670253974	N
garyc@uci.edu	UCI	Data Set 28	1671192263	Y
garyc@uci.edu	UCD	Data Set 31	1667795850	Y
garyc@uci.edu	UCD	Data Set 34	1671012450	N
garyc@uci.edu	UCD	Data Set 37	1669796538	N
garyc@uci.edu	UCI	Data Set 27	1667620127	N
garyc@uci.edu	UCSD	Data Set 18	1671344300	N
garyc@uci.edu	UCI	Data Set 24	1670320170	N
garyc@uci.edu	UCSD	Data Set 19	1668587015	N
gh@uci.edu	UCI	Data Set 23	1671007754	N
gh@uci.edu	UCI	Data Set 29	1669146148	N
gh@uci.edu	UCI	Data Set 24	1671259781	N
js@uci.edu	UCD	Data Set 36	1670326866	N
js@uci.edu	UCD	Data Set 33	1669193498	N
js@uci.edu	UCD	Data Set 35	1672182256	Y
js@uci.edu	UCD	Data Set 32	1671111463	N
js@uci.edu	UCI	Data Set 22	1668886010	N
js@uci.edu	UCI	Data Set 25	1668563627	N
js@uci.edu	UCD	Data Set 34	1671993707	Y
js@uci.edu	UCI	Data Set 21	1670768913	Y
js@uci.edu	UCI	Data Set 210	1667625510	N
js@uci.edu	UCI	Data Set 29	1669339902	N
js@uci.edu	UCSD	Data Set 14	1667987567	N
js@uci.edu	UCD	Data Set 37	1667298710	N
jamessanders@uci.edu	UCSD	Data Set 15	1670942518	N
jamessanders@uci.edu	UCD	Data Set 38	1671244904	N
jamessanders@uci.edu	UCI	Data Set 25	1668626832	N
jamessanders@uci.edu	UCI	Data Set 21	1669171018	Y
jamessanders@uci.edu	UCSD	Data Set 18	1668898363	N
jamessanders@uci.edu	UCD	Data Set 33	1670033523	N
jamessanders@uci.edu	UCI	Data Set 29	1667597410	N
jamessanders@uci.edu	UCD	Data Set 34	1670400466	N
jamessanders@uci.edu	UCSD	Data Set 13	1671624811	N
jamessanders@uci.edu	UCSD	Data Set 17	1668333114	N
jamessanders@uci.edu	UCD	Data Set 39	1671638267	N
jamessanders@uci.edu	UCI	Data Set 26	1670734072	N
jamessanders@uci.edu	UCSD	Data Set 14	1671828281	N
jamessanders@uci.edu	UCI	Data Set 23	1667740707	N
jamessanders@uci.edu	UCD	Data Set 35	1670843361	Y
jamessanders@uci.edu	UCI	Data Set 22	1668906188	N
jamessanders@uci.edu	UCD	Data Set 37	1669453648	N
jamessanders@uci.edu	UCSD	Data Set 12	1669222559	N
jamessanders@uci.edu	UCD	Data Set 31	1668614181	Y
jamessanders@uci.edu	UCSD	Data Set 16	1669824471	N
jw@uci.edu	UCD	Data Set 310	1668933768	N
jw@uci.edu	UCSD	Data Set 19	1668429475	N
jw@uci.edu	UCSD	Data Set 110	1668096115	Y
jw@uci.edu	UCSD	Data Set 11	1670678034	Y
jw@uci.edu	UCI	Data Set 29	1671593889	N
jw@uci.edu	UCSD	Data Set 15	1670023847	N
jw@uci.edu	UCD	Data Set 33	1671433343	N
jw@uci.edu	UCD	Data Set 38	1670680502	Y
jw@uci.edu	UCI	Data Set 23	1669473857	Y
jw@uci.edu	UCI	Data Set 25	1670984739	N
jw@uci.edu	UCI	Data Set 22	1669564656	N
jw@uci.edu	UCD	Data Set 39	1671226260	N
jw@uci.edu	UCD	Data Set 36	1668615543	Y
jm46@uci.edu	UCSD	Data Set 17	1669342266	N
jm46@uci.edu	UCI	Data Set 25	1670308015	N
jm46@uci.edu	UCD	Data Set 35	1667512116	N
jm46@uci.edu	UCD	Data Set 39	1668570934	N
jm46@uci.edu	UCI	Data Set 210	1672467543	N
jm46@uci.edu	UCD	Data Set 38	1667321650	Y
jm46@uci.edu	UCSD	Data Set 15	1671314947	N
justinparker6@uci.edu	UCSD	Data Set 12	1669547797	N
justinparker6@uci.edu	UCI	Data Set 21	1671852034	Y
justinparker6@uci.edu	UCSD	Data Set 16	1669201747	Y
justinparker6@uci.edu	UCI	Data Set 26	1667514563	N
justinparker6@uci.edu	UCD	Data Set 35	1671190559	Y
justinparker6@uci.edu	UCSD	Data Set 19	1670384933	Y
justinparker6@uci.edu	UCD	Data Set 36	1670411423	N
justinparker6@uci.edu	UCD	Data Set 34	1668205949	N
justinparker6@uci.edu	UCD	Data Set 310	1668129940	Y
justinparker6@uci.edu	UCSD	Data Set 110	1670270610	N
justinparker6@uci.edu	UCD	Data Set 32	1669010090	Y
karenb@uci.edu	UCI	Data Set 28	1672133799	N
karenb@uci.edu	UCD	Data Set 36	1669194513	Y
karenb@uci.edu	UCSD	Data Set 13	1672069330	N
karenb@uci.edu	UCI	Data Set 21	1669287453	Y
karenb@uci.edu	UCI	Data Set 25	1667800010	N
karenb@uci.edu	UCSD	Data Set 12	1670346999	N
karenb@uci.edu	UCI	Data Set 29	1672018515	Y
karenb@uci.edu	UCI	Data Set 24	1670738936	N
