DUA_number	signed_PIs
DUADS21	raymondmartinez@ucd.edu,mn23@ucd.edu,davidr46@ucsd.edu,emilyrivera@uci.edu,jw@uci.edu,rphillips55@ucd.edu,garyc@uci.edu,bphillips7@ucsd.edu,michelleyoung4@ucd.edu,agreen31@ucsd.edu,ruthb18@ucd.edu,cturner16@ucsd.edu,paulr23@ucd.edu,debrawhite67@ucsd.edu,samuelh@ucd.edu,cgutierrez98@ucsd.edu,cynthiagutierrez22@ucsd.edu,js@uci.edu,christinehill23@ucsd.edu,alexandercox71@ucsd.edu,cjohnson@ucsd.edu,kwood6@uci.edu,medwards@ucd.edu,kenneththompson@uci.edu,justinparker6@uci.edu,mreed@uci.edu,palvarez@ucd.edu,jm46@uci.edu,sm87@ucd.edu,nicholaswatson58@ucd.edu,donaldp46@ucsd.edu,ka@uci.edu,marym@ucd.edu,jamessanders@uci.edu,donaldr51@ucsd.edu,nancya@ucd.edu,katherinecampbell17@uci.edu,gh@uci.edu,sharonhall@ucd.edu,karenb@uci.edu,ms@ucd.edu,pr@ucd.edu,sm11@ucd.edu,mrobinson@ucd.edu,ag@ucsd.edu,ac55@ucsd.edu,jjimenez16@uci.edu,cruiz60@ucsd.edu,markrichardson64@ucd.edu,brandone4@ucsd.edu,bm30@ucsd.edu,kgomez@uci.edu,awalker24@ucsd.edu,markparker@uci.edu,cynthiaf@ucsd.edu,cy49@ucsd.edu,kennethd@uci.edu,timothym@ucd.edu
DUADS22	cynthiaf@ucsd.edu,cturner16@ucsd.edu,cgutierrez98@ucsd.edu,debrawhite67@ucsd.edu,jamessanders@uci.edu,nicholaswatson58@ucd.edu,timothym@ucd.edu,raymondmartinez@ucd.edu,kgomez@uci.edu,katherinecampbell17@uci.edu,brandone4@ucsd.edu,jjimenez16@uci.edu,ruthb18@ucd.edu,gh@uci.edu,ms@ucd.edu,awalker24@ucsd.edu,donaldr51@ucsd.edu,emilyrivera@uci.edu,kenneththompson@uci.edu,ag@ucsd.edu,mrobinson@ucd.edu,sharonhall@ucd.edu,michelleyoung4@ucd.edu,palvarez@ucd.edu,pr@ucd.edu,cynthiagutierrez22@ucsd.edu,mn23@ucd.edu
DUADS23	sharonhall@ucd.edu,cynthiaf@ucsd.edu,markrichardson64@ucd.edu,jjimenez16@uci.edu,pr@ucd.edu,raymondmartinez@ucd.edu,kennethd@uci.edu,nicholaswatson58@ucd.edu,mrobinson@ucd.edu,sm87@ucd.edu,cynthiagutierrez22@ucsd.edu,jm46@uci.edu,medwards@ucd.edu,ms@ucd.edu,bphillips7@ucsd.edu,ac55@ucsd.edu,cgutierrez98@ucsd.edu,cjohnson@ucsd.edu,kgomez@uci.edu,samuelh@ucd.edu,justinparker6@uci.edu,palvarez@ucd.edu,markparker@uci.edu,karenb@uci.edu,katherinecampbell17@uci.edu,kwood6@uci.edu,alexandercox71@ucsd.edu,margaretwilliams@uci.edu,marym@ucd.edu,michelleyoung4@ucd.edu,ka@uci.edu,brandone4@ucsd.edu,cy49@ucsd.edu,sm11@ucd.edu,ruthb18@ucd.edu,donaldp46@ucsd.edu,rphillips55@ucd.edu,cturner16@ucsd.edu,jw@uci.edu,ag@ucsd.edu,ln@uci.edu,emilyrivera@uci.edu,agreen31@ucsd.edu,christinehill23@ucsd.edu,garyc@uci.edu,gh@uci.edu,paulr23@ucd.edu,js@uci.edu,bm30@ucsd.edu,davidr46@ucsd.edu,debrawhite67@ucsd.edu,mreed@uci.edu,donaldr51@ucsd.edu,nancya@ucd.edu,mn23@ucd.edu,cruiz60@ucsd.edu
DUADS24	brandone4@ucsd.edu,js@uci.edu,nancya@ucd.edu,christinehill23@ucsd.edu,justinparker6@uci.edu,davidr46@ucsd.edu,emilyrivera@uci.edu,ac55@ucsd.edu,kenneththompson@uci.edu,sharonhall@ucd.edu,ln@uci.edu,karenb@uci.edu,pr@ucd.edu,donaldr51@ucsd.edu,markrichardson64@ucd.edu,ag@ucsd.edu,michelleyoung4@ucd.edu,raymondmartinez@ucd.edu,medwards@ucd.edu,ms@ucd.edu,samuelh@ucd.edu,jm46@uci.edu,margaretwilliams@uci.edu,cturner16@ucsd.edu,cruiz60@ucsd.edu,donaldp46@ucsd.edu,debrawhite67@ucsd.edu,cy49@ucsd.edu,ruthb18@ucd.edu,palvarez@ucd.edu,mrobinson@ucd.edu,kwood6@uci.edu,jw@uci.edu,cjohnson@ucsd.edu,cynthiaf@ucsd.edu,garyc@uci.edu,awalker24@ucsd.edu,bm30@ucsd.edu,ka@uci.edu,katherinecampbell17@uci.edu,bphillips7@ucsd.edu,kennethd@uci.edu,cgutierrez98@ucsd.edu,mreed@uci.edu,rphillips55@ucd.edu,marym@ucd.edu,nicholaswatson58@ucd.edu,markparker@uci.edu,kgomez@uci.edu,mn23@ucd.edu,paulr23@ucd.edu,sm11@ucd.edu,gh@uci.edu,timothym@ucd.edu,alexandercox71@ucsd.edu,agreen31@ucsd.edu,cynthiagutierrez22@ucsd.edu,jamessanders@uci.edu,sm87@ucd.edu
DUADS25	cturner16@ucsd.edu,ac55@ucsd.edu,sm11@ucd.edu,cy49@ucsd.edu,jjimenez16@uci.edu,ruthb18@ucd.edu,sharonhall@ucd.edu,cynthiagutierrez22@ucsd.edu,palvarez@ucd.edu,cjohnson@ucsd.edu,brandone4@ucsd.edu,paulr23@ucd.edu,nicholaswatson58@ucd.edu,medwards@ucd.edu,jm46@uci.edu,pr@ucd.edu,nancya@ucd.edu,ka@uci.edu,gh@uci.edu,mreed@uci.edu,markrichardson64@ucd.edu,alexandercox71@ucsd.edu,agreen31@ucsd.edu,sm87@ucd.edu,garyc@uci.edu,debrawhite67@ucsd.edu,marym@ucd.edu,jamessanders@uci.edu,margaretwilliams@uci.edu,awalker24@ucsd.edu,js@uci.edu,markparker@uci.edu,cruiz60@ucsd.edu,michelleyoung4@ucd.edu,samuelh@ucd.edu,cgutierrez98@ucsd.edu,rphillips55@ucd.edu,katherinecampbell17@uci.edu,kgomez@uci.edu,cynthiaf@ucsd.edu,emilyrivera@uci.edu,karenb@uci.edu,donaldp46@ucsd.edu,bphillips7@ucsd.edu
DUADS26	cgutierrez98@ucsd.edu,kennethd@uci.edu,jjimenez16@uci.edu,karenb@uci.edu,davidr46@ucsd.edu,jw@uci.edu,mreed@uci.edu,cynthiaf@ucsd.edu,js@uci.edu,donaldr51@ucsd.edu,pr@ucd.edu,garyc@uci.edu,katherinecampbell17@uci.edu,sharonhall@ucd.edu,kwood6@uci.edu,michelleyoung4@ucd.edu,medwards@ucd.edu,jamessanders@uci.edu,samuelh@ucd.edu,cturner16@ucsd.edu,timothym@ucd.edu,raymondmartinez@ucd.edu,nicholaswatson58@ucd.edu,markparker@uci.edu,ag@ucsd.edu,alexandercox71@ucsd.edu,cruiz60@ucsd.edu,debrawhite67@ucsd.edu,kenneththompson@uci.edu,cynthiagutierrez22@ucsd.edu,palvarez@ucd.edu,ruthb18@ucd.edu,sm11@ucd.edu,markrichardson64@ucd.edu,paulr23@ucd.edu,rphillips55@ucd.edu,christinehill23@ucsd.edu,brandone4@ucsd.edu,justinparker6@uci.edu,cjohnson@ucsd.edu,donaldp46@ucsd.edu,nancya@ucd.edu
DUADS27	cy49@ucsd.edu,ln@uci.edu,marym@ucd.edu,donaldp46@ucsd.edu,timothym@ucd.edu,mrobinson@ucd.edu,jamessanders@uci.edu,samuelh@ucd.edu,raymondmartinez@ucd.edu,cruiz60@ucsd.edu,michelleyoung4@ucd.edu,gh@uci.edu,kenneththompson@uci.edu,cgutierrez98@ucsd.edu,margaretwilliams@uci.edu,justinparker6@uci.edu,markparker@uci.edu,brandone4@ucsd.edu,bphillips7@ucsd.edu,christinehill23@ucsd.edu,kgomez@uci.edu,paulr23@ucd.edu,bm30@ucsd.edu,karenb@uci.edu,nicholaswatson58@ucd.edu,jm46@uci.edu,cynthiagutierrez22@ucsd.edu,mreed@uci.edu,emilyrivera@uci.edu,js@uci.edu,sm87@ucd.edu,cynthiaf@ucsd.edu,jjimenez16@uci.edu,ka@uci.edu,alexandercox71@ucsd.edu,katherinecampbell17@uci.edu,ruthb18@ucd.edu,nancya@ucd.edu,kennethd@uci.edu,ms@ucd.edu,debrawhite67@ucsd.edu,davidr46@ucsd.edu,pr@ucd.edu,awalker24@ucsd.edu,ag@ucsd.edu,mn23@ucd.edu,palvarez@ucd.edu,agreen31@ucsd.edu
DUADS28	justinparker6@uci.edu,garyc@uci.edu,raymondmartinez@ucd.edu,cynthiaf@ucsd.edu,palvarez@ucd.edu,ag@ucsd.edu,kenneththompson@uci.edu,cjohnson@ucsd.edu,ac55@ucsd.edu,timothym@ucd.edu,nancya@ucd.edu,rphillips55@ucd.edu,pr@ucd.edu,mn23@ucd.edu
DUADS29	nancya@ucd.edu,mn23@ucd.edu,raymondmartinez@ucd.edu,jjimenez16@uci.edu,ruthb18@ucd.edu,davidr46@ucsd.edu,kwood6@uci.edu,medwards@ucd.edu,cynthiaf@ucsd.edu,margaretwilliams@uci.edu,cturner16@ucsd.edu,emilyrivera@uci.edu,debrawhite67@ucsd.edu,sharonhall@ucd.edu,markparker@uci.edu,ln@uci.edu,karenb@uci.edu,markrichardson64@ucd.edu,garyc@uci.edu,js@uci.edu,timothym@ucd.edu,christinehill23@ucsd.edu,marym@ucd.edu,palvarez@ucd.edu,jw@uci.edu,agreen31@ucsd.edu,donaldp46@ucsd.edu,jm46@uci.edu,ms@ucd.edu,cgutierrez98@ucsd.edu,cruiz60@ucsd.edu,nicholaswatson58@ucd.edu,mreed@uci.edu,sm11@ucd.edu,sm87@ucd.edu,paulr23@ucd.edu,awalker24@ucsd.edu,kgomez@uci.edu,cy49@ucsd.edu,brandone4@ucsd.edu,ac55@ucsd.edu,ag@ucsd.edu,rphillips55@ucd.edu,cynthiagutierrez22@ucsd.edu,mrobinson@ucd.edu,katherinecampbell17@uci.edu,bphillips7@ucsd.edu,samuelh@ucd.edu,justinparker6@uci.edu,kenneththompson@uci.edu,jamessanders@uci.edu,gh@uci.edu,bm30@ucsd.edu,alexandercox71@ucsd.edu,cjohnson@ucsd.edu,kennethd@uci.edu,michelleyoung4@ucd.edu
DUADS210	ag@ucsd.edu,cruiz60@ucsd.edu,sharonhall@ucd.edu,debrawhite67@ucsd.edu,paulr23@ucd.edu,medwards@ucd.edu,nicholaswatson58@ucd.edu,jamessanders@uci.edu,jw@uci.edu,ln@uci.edu,cynthiaf@ucsd.edu,cturner16@ucsd.edu,ac55@ucsd.edu,marym@ucd.edu,garyc@uci.edu,bphillips7@ucsd.edu,jm46@uci.edu,ruthb18@ucd.edu,pr@ucd.edu,davidr46@ucsd.edu,cgutierrez98@ucsd.edu,cy49@ucsd.edu,mrobinson@ucd.edu,donaldr51@ucsd.edu,katherinecampbell17@uci.edu,ka@uci.edu,karenb@uci.edu,cynthiagutierrez22@ucsd.edu,brandone4@ucsd.edu,rphillips55@ucd.edu,gh@uci.edu,cjohnson@ucsd.edu,nancya@ucd.edu,kenneththompson@uci.edu,markparker@uci.edu,emilyrivera@uci.edu,kennethd@uci.edu,samuelh@ucd.edu,donaldp46@ucsd.edu,bm30@ucsd.edu,christinehill23@ucsd.edu
DUADS31	cjohnson@ucsd.edu,rphillips55@ucd.edu,agreen31@ucsd.edu,pr@ucd.edu,davidr46@ucsd.edu,jamessanders@uci.edu,sm87@ucd.edu,cynthiagutierrez22@ucsd.edu,cruiz60@ucsd.edu,garyc@uci.edu,mrobinson@ucd.edu,emilyrivera@uci.edu,kennethd@uci.edu,markrichardson64@ucd.edu,js@uci.edu
DUADS32	agreen31@ucsd.edu,gh@uci.edu,jamessanders@uci.edu,jjimenez16@uci.edu,justinparker6@uci.edu,mn23@ucd.edu,awalker24@ucsd.edu,kgomez@uci.edu,katherinecampbell17@uci.edu,donaldr51@ucsd.edu,pr@ucd.edu,ms@ucd.edu,paulr23@ucd.edu,raymondmartinez@ucd.edu,garyc@uci.edu,markparker@uci.edu,emilyrivera@uci.edu,christinehill23@ucsd.edu,ag@ucsd.edu,nicholaswatson58@ucd.edu,margaretwilliams@uci.edu,davidr46@ucsd.edu,karenb@uci.edu,ac55@ucsd.edu,jm46@uci.edu,kenneththompson@uci.edu,js@uci.edu,marym@ucd.edu,jw@uci.edu,michelleyoung4@ucd.edu,mreed@uci.edu,cturner16@ucsd.edu,medwards@ucd.edu,sharonhall@ucd.edu,sm87@ucd.edu,alexandercox71@ucsd.edu,cy49@ucsd.edu,kennethd@uci.edu,rphillips55@ucd.edu
DUADS33	ka@uci.edu,jw@uci.edu,davidr46@ucsd.edu,samuelh@ucd.edu,jamessanders@uci.edu,sm87@ucd.edu,js@uci.edu,ln@uci.edu,raymondmartinez@ucd.edu,cruiz60@ucsd.edu,donaldr51@ucsd.edu,kenneththompson@uci.edu,mn23@ucd.edu,nicholaswatson58@ucd.edu,markrichardson64@ucd.edu,cjohnson@ucsd.edu,jm46@uci.edu,ac55@ucsd.edu,katherinecampbell17@uci.edu,kwood6@uci.edu,kgomez@uci.edu,emilyrivera@uci.edu,debrawhite67@ucsd.edu,bm30@ucsd.edu,margaretwilliams@uci.edu,sm11@ucd.edu,cynthiaf@ucsd.edu,ag@ucsd.edu,jjimenez16@uci.edu,marym@ucd.edu,palvarez@ucd.edu,ms@ucd.edu,justinparker6@uci.edu,christinehill23@ucsd.edu,medwards@ucd.edu,cynthiagutierrez22@ucsd.edu,michelleyoung4@ucd.edu,timothym@ucd.edu,cy49@ucsd.edu,agreen31@ucsd.edu,garyc@uci.edu,sharonhall@ucd.edu
DUADS34	cynthiaf@ucsd.edu,palvarez@ucd.edu,jm46@uci.edu,cy49@ucsd.edu,js@uci.edu,rphillips55@ucd.edu,mrobinson@ucd.edu,gh@uci.edu,awalker24@ucsd.edu,michelleyoung4@ucd.edu,medwards@ucd.edu,ac55@ucsd.edu,ruthb18@ucd.edu,jw@uci.edu,sharonhall@ucd.edu,nancya@ucd.edu,pr@ucd.edu,paulr23@ucd.edu,markrichardson64@ucd.edu,marym@ucd.edu,garyc@uci.edu,kennethd@uci.edu,bm30@ucsd.edu,agreen31@ucsd.edu,jamessanders@uci.edu,mreed@uci.edu,nicholaswatson58@ucd.edu,mn23@ucd.edu,brandone4@ucsd.edu,ms@ucd.edu,katherinecampbell17@uci.edu,donaldp46@ucsd.edu,kgomez@uci.edu,samuelh@ucd.edu,cjohnson@ucsd.edu,donaldr51@ucsd.edu,cgutierrez98@ucsd.edu,bphillips7@ucsd.edu,cturner16@ucsd.edu,ka@uci.edu,sm87@ucd.edu,debrawhite67@ucsd.edu,timothym@ucd.edu,justinparker6@uci.edu,raymondmartinez@ucd.edu,ln@uci.edu,davidr46@ucsd.edu,margaretwilliams@uci.edu,kwood6@uci.edu,emilyrivera@uci.edu
DUADS35	nicholaswatson58@ucd.edu,sharonhall@ucd.edu,samuelh@ucd.edu,justinparker6@uci.edu,sm11@ucd.edu,pr@ucd.edu,bm30@ucsd.edu,kwood6@uci.edu,agreen31@ucsd.edu,ms@ucd.edu,mreed@uci.edu,mn23@ucd.edu,cynthiagutierrez22@ucsd.edu,medwards@ucd.edu,jamessanders@uci.edu,christinehill23@ucsd.edu,cgutierrez98@ucsd.edu,js@uci.edu,ka@uci.edu,kennethd@uci.edu,emilyrivera@uci.edu,jw@uci.edu,paulr23@ucd.edu,sm87@ucd.edu,kgomez@uci.edu,davidr46@ucsd.edu,palvarez@ucd.edu,gh@uci.edu,alexandercox71@ucsd.edu
DUADS36	sm87@ucd.edu,brandone4@ucsd.edu,mn23@ucd.edu,michelleyoung4@ucd.edu,garyc@uci.edu,samuelh@ucd.edu,medwards@ucd.edu,alexandercox71@ucsd.edu,donaldp46@ucsd.edu,sm11@ucd.edu,bm30@ucsd.edu,jamessanders@uci.edu,mreed@uci.edu,donaldr51@ucsd.edu,kenneththompson@uci.edu,palvarez@ucd.edu,nicholaswatson58@ucd.edu,karenb@uci.edu,cynthiaf@ucsd.edu,agreen31@ucsd.edu,jw@uci.edu,jm46@uci.edu,margaretwilliams@uci.edu,paulr23@ucd.edu,kennethd@uci.edu,raymondmartinez@ucd.edu,mrobinson@ucd.edu,emilyrivera@uci.edu,cy49@ucsd.edu
DUADS37	debrawhite67@ucsd.edu,cgutierrez98@ucsd.edu,samuelh@ucd.edu,marym@ucd.edu,cynthiaf@ucsd.edu,cynthiagutierrez22@ucsd.edu,palvarez@ucd.edu,bphillips7@ucsd.edu,bm30@ucsd.edu,awalker24@ucsd.edu,donaldp46@ucsd.edu,justinparker6@uci.edu,cturner16@ucsd.edu,sm87@ucd.edu,cy49@ucsd.edu,alexandercox71@ucsd.edu,cruiz60@ucsd.edu
DUADS38	cynthiaf@ucsd.edu,cturner16@ucsd.edu,markrichardson64@ucd.edu,raymondmartinez@ucd.edu,sharonhall@ucd.edu,donaldp46@ucsd.edu,katherinecampbell17@uci.edu,samuelh@ucd.edu,sm11@ucd.edu,justinparker6@uci.edu,agreen31@ucsd.edu,marym@ucd.edu,awalker24@ucsd.edu,kwood6@uci.edu,jm46@uci.edu,cgutierrez98@ucsd.edu,emilyrivera@uci.edu,sm87@ucd.edu,jjimenez16@uci.edu,ag@ucsd.edu,bphillips7@ucsd.edu,donaldr51@ucsd.edu,mn23@ucd.edu,jw@uci.edu,brandone4@ucsd.edu,markparker@uci.edu,ka@uci.edu,mreed@uci.edu,ln@uci.edu,mrobinson@ucd.edu,kgomez@uci.edu,bm30@ucsd.edu,cynthiagutierrez22@ucsd.edu,margaretwilliams@uci.edu,karenb@uci.edu,js@uci.edu,pr@ucd.edu,kennethd@uci.edu,nancya@ucd.edu,gh@uci.edu,timothym@ucd.edu,rphillips55@ucd.edu
